ppo/return,regret/generate,step,grad_step,rollout_step,branch,num_generate_steps,num_replay_updates,buffer/mean_score,buffer/max_score,buffer/mean_urns,buffer/max_urns,eval/random/optimal,eval/random/greedy/regret,eval/random/greedy/max_regret,eval/random/greedy/solved,eval/random/greedy/break,eval/random/greedy/achieved,eval/random/stochastic/regret,eval/random/stochastic/max_regret,eval/random/stochastic/solved,eval/random/stochastic/break,eval/random/stochastic/achieved,eval/walls/optimal,eval/walls/greedy/regret,eval/walls/greedy/max_regret,eval/walls/greedy/solved,eval/walls/greedy/break,eval/walls/greedy/achieved,eval/walls/stochastic/regret,eval/walls/stochastic/max_regret,eval/walls/stochastic/solved,eval/walls/stochastic/break,eval/walls/stochastic/achieved,ppo/loss,ppo/loss-actor,ppo/loss-critic,ppo/entropy,ppo/actor-clip,ppo/critic-clip,ppo/actor-kl1,ppo/actor-kl3,regret/replay
-3.6002731323242188,4.927128791809082,0,0.0,0.0,0.0,1,0,4.927128791809082,19.326091766357422,1.30126953125,8.0,1.3644530773162842,2.729508638381958,10.141312599182129,0.00048828125,0.087890625,-1.3650556802749634,4.887054920196533,14.625218391418457,0.0,0.79052734375,-3.522602081298828,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,10.113452911376953,13.480713844299316,0.0,1.0,-8.230643272399902,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.6424407958984375,nan,10,5.0,5.0,1.0,7,4,6.893126487731934,18.09002113342285,1.70458984375,8.0,1.3644530773162842,2.523916721343994,7.030007839202881,0.0009765625,0.02294921875,-1.15946364402771,4.422875881195068,13.374722480773926,0.0,0.681640625,-3.058422803878784,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,9.936766624450684,10.606237411499023,0.0,1.0,-8.05395793914795,1.2573867440223694,-0.0038732560933567584,2.55787343531847,1.7676708474755287,0.12102699279785156,0.8501510620117188,0.0020352741548776976,0.002110243205606821,12.3073148727417
-2.4617385864257812,3.7937581539154053,20,10.0,10.0,0.0,13,8,7.485032558441162,16.27379608154297,1.9415283203125,8.0,1.3644530773162842,2.4794509410858154,7.030007839202881,0.00048828125,0.00830078125,-1.1149977445602417,3.782935857772827,10.98507022857666,0.0009765625,0.5224609375,-2.418482542037964,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,8.987143516540527,13.359502792358398,0.0,1.0,-7.104333877563477,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.825483798980713,3.1592159271240234,30,15.0,15.0,0.0,19,12,7.398855209350586,15.494925498962402,1.9566650390625,11.0,1.3644530773162842,2.4837703704833984,7.030007839202881,0.00048828125,0.0126953125,-1.1193170547485352,3.1768388748168945,11.229510307312012,0.00244140625,0.3701171875,-1.8123855590820312,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,7.187969207763672,8.098891258239746,0.0,1.0,-5.305160045623779,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.3569835424423218,2.6840336322784424,40,20.0,20.0,0.0,24,17,7.040980339050293,14.665741920471191,1.9385986328125,11.0,1.3644530773162842,2.4727396965026855,7.030007839202881,0.00048828125,0.01220703125,-1.1082866191864014,2.7266931533813477,10.304864883422852,0.0029296875,0.26123046875,-1.3622403144836426,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,6.708286285400391,7.552517890930176,0.0,1.0,-4.825477123260498,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.1718323230743408,2.488628387451172,50,25.0,25.0,0.0,30,21,6.758951187133789,14.255613327026367,1.9305419921875,11.0,1.3644530773162842,2.458003282546997,7.030007839202881,0.00048828125,0.00634765625,-1.0935499668121338,2.5296854972839355,9.217231750488281,0.0048828125,0.2041015625,-1.1652321815490723,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,6.574771404266357,7.151973247528076,0.0,1.0,-4.691962242126465,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.398216962814331,nan,60,30.0,30.0,1.0,34,27,6.073840141296387,13.305702209472656,1.9200439453125,11.0,1.3644530773162842,2.423849105834961,7.030007839202881,0.01513671875,0.00439453125,-1.0593957901000977,2.281599760055542,8.668407440185547,0.00830078125,0.140625,-0.9171466827392578,1.8828092813491821,3.8596160411834717,5.549533367156982,0.0,0.3333333432674408,-1.976806640625,6.639254093170166,7.325993061065674,0.0,1.0,-4.756444931030273,0.021253498853184283,-0.0021921512816334143,0.07691657776013017,1.5012638419866562,0.18237876892089844,0.4155387878417969,0.003865072336338926,0.0037465204877662472,4.080003261566162
-0.7449002265930176,2.074867010116577,70,35.0,35.0,0.0,38,33,5.555410385131836,12.846047401428223,1.89373779296875,11.0,1.3644530773162842,2.409005641937256,7.030007839202881,0.0244140625,0.00439453125,-1.0445524454116821,2.0767688751220703,8.335058212280273,0.0126953125,0.10205078125,-0.712315559387207,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,5.726398468017578,7.296954154968262,0.0,1.0,-3.8435895442962646,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.638074517250061,nan,80,40.0,40.0,1.0,44,37,5.272871017456055,12.479647636413574,1.9010009765625,11.0,1.3644530773162842,2.3709514141082764,7.030007839202881,0.03466796875,0.00390625,-1.0064983367919922,1.9406424760818481,8.670818328857422,0.021484375,0.08349609375,-0.5761893391609192,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,4.9723711013793945,5.929617881774902,0.0,1.0,-3.089562177658081,-0.0020090987673029304,-0.00027358550869394094,0.026009415625594556,1.4740221463143826,0.17690658569335938,0.3188762664794922,0.0029369185176619794,0.002968423785205232,3.1729001998901367
-1.7242317199707031,nan,90,45.0,45.0,1.0,47,44,4.672998428344727,12.430181503295898,1.875732421875,11.0,1.3644530773162842,2.3230788707733154,7.030007839202881,0.0498046875,0.0029296875,-0.9586257934570312,1.700273871421814,7.215059280395508,0.033203125,0.07861328125,-0.3358207941055298,1.8828092813491821,2.980543851852417,3.528801918029785,0.0,0.0,-1.0977344512939453,5.033707618713379,5.682801246643066,0.0,1.0,-3.1508986949920654,0.11147887236438692,-0.006233214091480477,0.26200303295627236,1.3289430476725101,0.2015209197998047,0.3934898376464844,0.0047988522637751885,0.004760642761539202,7.256525039672852
